"top","left","date","qtr","time_remaining","result","shot_type","distance_ft","lead","lebron_team_score","opponent_team_score","opponent"
310,203,19283,2,566,0,3,26,0,2,2,9
213,259,19283,2,518,0,2,16,0,4,5,9
143,171,19283,2,490,0,2,11,0,4,7,9
68,215,19283,2,324,1,2,3,0,12,19,9
66,470,19283,2,62,0,3,23,0,22,23,9
63,239,19283,4,690,1,2,1,0,24,25,9
230,54,19283,4,630,0,3,26,0,24,27,9
53,224,19283,4,605,1,2,2,0,26,27,9
241,67,19283,4,570,0,3,26,0,26,29,9
273,113,19283,4,535,0,3,25,0,26,32,9
62,224,19283,4,426,0,2,2,0,31,39,9
63,249,19283,4,233,1,2,1,0,39,49,9
103,236,19283,4,154,0,2,5,0,39,51,9
54,249,19283,4,108,1,2,1,0,44,53,9
53,240,19283,4,58,0,2,0,0,46,55,9
230,71,19283,5,649,1,3,25,0,58,63,9
231,358,19283,5,540,0,2,21,0,60,70,9
61,240,19283,5,524,1,2,1,0,62,70,9
59,235,19283,5,71,1,2,1,0,68,91,9
299,188,19283,5,6,1,3,25,0,71,91,9
251,397,19283,6,704,0,3,25,0,71,91,9
63,241,19283,6,627,1,2,1,0,75,93,9
290,152,19283,6,589,0,3,25,0,75,93,9
53,240,19283,6,544,1,2,0,0,77,93,9
70,476,19283,6,226,1,3,24,0,96,109,9
324,183,19285,2,630,1,3,28,1,6,3,12
290,166,19285,2,606,0,3,25,1,6,3,12
228,127,19285,2,532,1,2,21,1,8,7,12
78,277,19285,2,367,0,2,4,0,12,14,12
159,197,19285,2,25,0,2,12,0,23,32,12
324,191,19285,4,658,1,3,28,0,28,36,12
313,171,19285,4,588,0,3,27,0,31,38,12
81,235,19285,4,567,0,2,3,0,31,38,12
85,240,19285,4,123,1,2,3,0,50,54,12
91,226,19285,5,472,1,2,4,1,65,63,12
113,243,19285,5,424,0,2,6,1,65,63,12
284,130,19285,5,127,0,3,26,0,69,82,12
105,257,19285,5,59,1,2,6,0,75,83,12
256,72,19285,6,677,0,3,26,0,79,85,12
74,218,19285,6,653,1,2,3,0,81,86,12
327,259,19285,6,572,0,3,27,0,83,86,12
329,418,19285,6,2,0,3,33,0,97,101,12
83,234,19288,2,592,0,2,3,1,4,0,23
53,240,19288,2,592,0,2,0,1,4,0,23
103,242,19288,2,27,1,2,5,0,22,30,23
363,297,19288,4,663,0,3,32,0,24,32,23
240,57,19288,4,498,0,3,26,0,28,40,23
94,243,19288,4,471,1,2,4,0,30,40,23
73,238,19288,4,201,1,2,2,0,43,46,23
325,284,19288,4,55,0,3,28,0,45,51,23
77,247,19288,4,45,1,2,3,0,47,53,23
305,221,19288,5,556,0,3,25,0,54,59,23
68,233,19288,5,543,1,2,2,0,56,59,23
283,348,19288,5,59,1,3,25,1,80,74,23
306,156,19288,5,30,1,3,27,1,83,76,23
383,207,19288,5,0,0,3,33,1,83,78,23
54,246,19288,6,453,1,2,1,1,91,86,23
63,241,19288,6,329,1,2,1,1,95,88,23
68,212,19288,6,282,1,2,3,1,97,90,23
318,283,19288,6,235,0,3,27,1,98,92,23
60,222,19288,6,116,1,2,2,1,102,95,23
254,397,19288,6,52,0,3,26,1,102,99,23
59,242,19288,6,7,1,2,1,0,104,104,23
139,82,19288,6,0,0,2,18,0,104,106,23
298,338,19291,2,1,0,3,26,0,22,26,7
176,38,19291,4,707,1,3,24,0,25,26,7
183,238,19291,4,632,1,2,13,0,28,31,7
325,263,19291,4,590,0,3,27,0,28,31,7
293,140,19291,4,559,0,3,26,0,28,34,7
87,238,19291,4,518,0,2,3,0,30,36,7
66,219,19291,4,395,0,2,2,0,33,38,7
61,243,19291,4,381,1,2,1,0,35,38,7
69,215,19291,5,598,0,2,3,0,56,56,7
79,257,19291,5,454,1,2,3,0,60,66,7
79,277,19291,5,26,1,2,5,0,71,85,7
85,240,19291,6,704,1,2,3,0,73,86,7
82,252,19291,6,677,1,2,3,0,76,86,7
106,197,19291,6,651,0,2,7,0,76,86,7
128,232,19291,6,566,0,2,8,0,76,86,7
303,290,19291,6,536,1,3,26,0,82,89,7
103,235,19291,6,493,0,2,5,0,82,89,7
53,240,19291,6,489,0,2,0,0,82,89,7
225,32,19291,6,421,0,3,27,0,84,96,7
101,12,19291,6,392,0,3,23,0,84,96,7
309,350,19291,6,178,0,3,28,0,90,105,7
247,79,19293,2,682,1,3,25,1,3,2,16
310,248,19293,2,597,0,3,26,0,7,7,16
179,263,19293,2,536,0,2,13,0,7,9,16
67,249,19293,2,379,0,2,2,0,10,19,16
83,280,19293,2,293,0,2,5,0,12,21,16
53,240,19293,2,237,1,2,0,0,16,21,16
53,240,19293,4,525,1,2,0,0,31,35,16
58,236,19293,4,411,1,2,1,0,34,39,16
94,257,19293,4,342,0,2,4,0,37,42,16
82,251,19293,4,115,0,2,3,0,45,49,16
61,241,19293,4,35,1,2,1,0,50,52,16
63,244,19293,4,6,1,2,1,0,52,52,16
62,12,19293,5,644,0,3,23,0,52,54,16
56,238,19293,5,573,1,2,0,1,57,56,16
46,122,19293,5,442,0,2,12,0,57,61,16
305,221,19293,5,355,0,3,25,0,61,63,16
56,263,19293,5,334,0,2,2,0,61,65,16
53,240,19293,5,332,0,2,0,0,61,65,16
57,238,19293,6,618,1,2,0,0,79,83,16
56,236,19293,6,594,0,2,1,0,80,83,16
226,59,19293,6,585,0,3,25,0,80,83,16
314,102,19293,6,538,0,3,30,0,80,86,16
128,314,19293,6,484,1,2,11,0,82,88,16
62,250,19293,6,429,1,2,1,0,84,90,16
74,262,19295,2,681,0,2,3,0,0,0,7
67,233,19295,2,553,0,2,2,0,3,8,7
67,226,19295,2,489,0,2,2,0,7,11,7
67,253,19295,2,313,0,2,2,0,15,20,7
66,245,19295,2,6,1,2,1,0,26,31,7
66,260,19295,4,612,0,2,2,0,26,33,7
87,262,19295,4,582,0,2,4,0,28,35,7
66,229,19295,4,578,1,2,2,0,30,35,7
130,468,19295,4,432,1,3,24,0,38,41,7
89,222,19295,4,99,0,2,4,1,51,49,7
160,127,19295,4,93,1,2,16,1,53,49,7
301,287,19295,4,49,0,3,25,1,53,49,7
178,103,19295,5,685,1,2,19,1,57,53,7
60,248,19295,5,661,1,2,1,1,59,56,7
57,254,19295,5,600,1,2,1,1,61,59,7
59,258,19295,5,551,0,2,2,0,62,62,7
65,221,19295,5,512,0,2,2,0,64,64,7
83,400,19295,5,504,1,2,16,1,66,64,7
327,163,19295,5,405,0,3,28,0,67,71,7
306,202,19295,6,502,1,3,26,1,104,95,7
98,71,19295,6,393,1,2,18,1,108,99,7
254,33,19295,6,140,0,3,29,1,113,106,7
310,204,19298,2,604,0,3,26,0,2,2,17
67,246,19298,2,481,1,2,2,1,6,4,17
318,181,19298,2,58,0,3,27,0,20,22,17
213,187,19298,4,690,1,2,17,0,25,29,17
73,244,19298,4,561,1,2,2,0,29,33,17
249,384,19298,4,199,0,3,24,0,39,42,17
60,236,19298,4,117,1,2,1,1,46,44,17
77,249,19298,5,667,1,2,3,1,60,44,17
307,333,19298,5,603,0,3,27,1,60,49,17
78,247,19298,5,507,1,2,3,1,66,53,17
110,249,19298,5,143,0,2,6,1,76,69,17
112,101,19298,5,69,0,2,15,0,76,77,17
72,249,19298,5,40,1,2,2,1,80,77,17
208,367,19298,6,663,0,2,20,1,84,81,17
284,373,19298,6,444,0,3,27,1,96,95,17
86,240,19298,6,182,1,2,3,0,105,105,17
304,120,19298,6,89,0,3,28,1,106,105,17
82,158,19298,6,11,0,2,9,0,108,109,17
74,223,19298,1,284,0,2,3,0,111,111,17
72,255,19298,1,203,0,2,2,1,114,113,17
77,243,19298,1,116,1,2,2,1,120,115,17
309,151,19298,1,76,0,3,27,1,120,115,17
229,310,19298,1,14,0,2,19,1,120,117,17
279,358,19300,2,482,0,3,26,0,10,12,26
282,337,19300,2,347,0,3,25,0,19,20,26
137,337,19300,2,20,0,2,13,0,34,38,26
60,478,19300,4,632,0,3,24,0,36,44,26
83,233,19300,4,628,1,2,3,0,38,44,26
319,220,19300,4,563,0,3,27,0,41,44,26
216,309,19300,4,432,1,2,18,0,48,50,26
68,272,19300,4,168,0,2,4,0,56,68,26
53,240,19300,4,164,1,2,0,0,58,68,26
127,226,19300,4,23,0,2,8,0,62,75,26
69,242,19300,5,589,1,2,2,0,66,78,26
93,219,19300,5,515,0,2,5,0,69,81,26
71,242,19300,5,469,1,2,2,0,71,85,26
65,238,19300,5,361,1,2,1,0,80,88,26
93,244,19300,6,532,0,2,4,0,101,108,26
117,234,19300,6,473,0,2,6,0,103,111,26
78,221,19300,6,398,0,2,3,0,103,111,26
61,243,19300,6,373,1,2,1,0,105,113,26
283,117,19300,6,131,0,3,26,0,113,126,26
76,239,19302,2,619,1,2,2,1,7,0,5
79,257,19302,2,592,1,2,3,1,9,2,5
128,408,19302,2,364,0,2,18,1,17,9,5
69,240,19302,2,345,1,2,2,1,19,9,5
207,162,19302,4,688,0,2,17,1,36,32,5
294,148,19302,4,611,0,3,26,1,38,34,5
84,248,19302,4,588,1,2,3,1,40,34,5
328,258,19302,4,567,0,3,28,1,40,34,5
61,250,19302,4,562,0,2,1,1,40,34,5
68,244,19302,4,332,1,2,2,1,51,44,5
225,169,19302,4,93,1,2,19,1,61,53,5
